feature,anova_f,anova_pvalue,mutual_info,rf_importance,mean_rank_score
global_glcm_energy_mean,727.105297409142,0.0,0.5693261855516818,0.0016126923437861705,158.0
global_hsv_ch0_hist_9,448.35313258881143,9.029717113354021e-244,0.6398963140999456,0.001814083552072515,158.66666666666666
global_contrast,2895.0707065692873,0.0,0.5980537843471685,0.0002923815005830934,159.66666666666666
global_gray_median,1154.9047072794815,0.0,0.5760735419209584,0.0009709149975365162,160.0
global_lab_ch1_hist_8,389.4600282699671,4.06434009680871e-216,0.5726276941425819,0.0038742924845163633,161.0
global_dct_low_std,1854.9862495160714,0.0,0.625990423002651,0.00040884862543273296,161.33333333333334
roi_rgb_g_median,1432.9472545420501,0.0,0.5651921942251636,0.0008199843314903206,161.33333333333334
roi_rgb_ch1_hist_8,1619.3980367781369,0.0,0.45555849252363934,0.0016082120960036858,161.33333333333334
global_gray_hist_20,1865.2205735559783,0.0,0.6194048486998467,0.0004109276097238649,161.66666666666666
global_lab_ch0_hist_15,824.6249374253099,0.0,0.5639800900920178,0.0013555152319144725,161.66666666666666
global_lab_l_mean,1864.7893723600614,0.0,0.6345796183015509,0.0003815747232913566,163.0
global_glcm_energy_min,695.7305307455028,0.0,0.5621408128542844,0.001705273275267198,163.0
global_glcm_energy_max,840.4265908661733,0.0,0.5949524247041789,0.0010468883377771315,163.33333333333334
roi_lab_l_q25,1541.3963742820436,0.0,0.5923032898585285,0.0005934190776971021,164.0
global_gray_std,2895.0707065692873,0.0,0.5980537843471685,0.0002555326432438882,164.0
roi_lab_a_median,1041.1252414264961,0.0,0.5012158700050728,0.0017863563583163595,164.33333333333334
global_rgb_ch2_hist_13,982.5885278471179,0.0,0.4628425370251221,0.0026605995206615187,166.0
roi_gray_hist_24,1319.9865051440804,0.0,0.48539598259911987,0.0014572819359681616,166.33333333333334
global_rgb_ch0_hist_9,1316.6890517823604,0.0,0.5844648188471508,0.0006974491263393123,169.0
global_lab_ch0_hist_6,418.16442679051113,9.903242876245469e-230,0.5466683534637726,0.0031279398540705054,169.33333333333334
global_gray_hist_14,300.6615873119179,2.8827710190783975e-172,0.5249376975919686,0.012791133048914868,170.0
roi_rgb_g_mean,1602.7229930592423,0.0,0.546226720005422,0.0006990408244522515,170.33333333333334
global_lab_ch2_hist_3,423.0730520898229,4.941190759519029e-232,0.5158678420989273,0.004395461060841024,170.66666666666666
global_lab_b_q75,375.50275434602077,2.109206251616196e-209,0.6297399781539998,0.0018470604060082919,171.0
seg_mask_perimeter,894.8232570684152,0.0,0.5369724353654646,0.0012208710370298409,171.33333333333334
global_lab_ch0_hist_7,276.04059282516675,1.3020271170445551e-159,0.5364701885008887,0.011712814313651653,173.0
global_hsv_v_std,784.8752031085947,0.0,0.4855607500473358,0.0023107756529238887,173.0
global_lab_l_median,1102.654234996731,0.0,0.5692394728446046,0.0007921550332361949,174.33333333333334
global_lab_a_q25,561.3168966237276,5.763472962239326e-294,0.5565862736150509,0.0014862993803631274,174.33333333333334
roi_lab_a_q25,1190.6433542995992,0.0,0.45401598441956814,0.0018809939741070418,176.0
roi_gray_entropy,1440.7610811602028,0.0,0.4858711530227655,0.00104234938372462,176.33333333333334
global_lab_l_q25,1540.4240430499642,0.0,0.60733806509978,0.0004093004020243807,176.33333333333334
global_gray_hist_26,855.2752418905952,0.0,0.4397689604732624,0.003040494976467279,178.66666666666666
global_gray_hist_12,348.353071346289,3.7298539941029395e-196,0.5261330424144095,0.005223542643701296,179.0
global_gray_hist_31,1138.5989856732951,0.0,0.5473850194447942,0.0008376883671600672,179.0
global_rgb_b_q25,772.2582039038667,0.0,0.47681961172571974,0.002263766740887666,179.66666666666666
global_rgb_g_mean,1737.0387572307689,0.0,0.6253224389324656,0.0002884855861240094,181.33333333333334
global_dct_low_energy,1919.054651170991,0.0,0.6151819414282653,0.0002507573145953847,181.33333333333334
global_hsv_ch0_hist_5,718.1913658163538,0.0,0.5168149236825419,0.0014205489622342183,181.33333333333334
global_rgb_ch1_hist_15,743.9982871428937,0.0,0.5418939479801002,0.0011472049613976353,181.33333333333334
global_rgb_ch1_hist_4,375.51820988766104,2.0732311910966114e-209,0.5058266729259393,0.004513778014731624,182.33333333333334
global_glcm_ASM_min,494.9804942374406,6.360716509457143e-265,0.5619534008711002,0.0013801344540445618,182.33333333333334
roi_rgb_g_q75,1394.3847479115602,0.0,0.5048750676946618,0.0008351188867902021,182.33333333333334
global_brightness,1936.1664575399832,0.0,0.6289195704162811,0.00020940820981738388,182.5
roi_rgb_ch1_hist_12,901.6379989586316,0.0,0.42258668256000065,0.0027421158413967845,183.33333333333334
global_gray_hist_13,259.36084293173775,6.5740802819168e-151,0.5320875882590197,0.00769440835143233,183.33333333333334
roi_gray_hist_25,1194.0308198673708,0.0,0.4627567391030649,0.0013783201681116404,184.0
global_glcm_ASM_mean,556.4001886254852,7.461306614266207e-292,0.5635773166194935,0.001128854539658163,184.0
roi_hsv_s_mean,1859.5475958222014,0.0,0.5521151182094446,0.00039376319762795094,184.66666666666666
roi_gray_q25,1527.0685446986747,0.0,0.5668152896167538,0.00042903823370972233,185.0
global_hsv_ch0_hist_6,576.4516150245107,1.9879509786031733e-300,0.5304799172322494,0.0014176150496976333,185.66666666666666
global_glcm_energy_std,978.2652193426442,0.0,0.3782749789928834,0.003934945593601073,187.0
global_hsv_ch0_hist_2,275.8211156696031,1.6921907077888945e-159,0.6085288945852099,0.002332311914482241,188.66666666666666
global_hsv_v_mean,741.5316727122952,0.0,0.44590014741199635,0.0023950123509747234,189.66666666666666
global_hsv_ch1_hist_10,250.25014297545485,4.140876842025253e-146,0.5198581140573231,0.007631312624096803,189.66666666666666
roi_glcm_correlation_min,780.3254154834781,0.0,0.548512618783515,0.0009103373670189283,190.0
roi_gray_hist_23,966.864465020097,0.0,0.41749108920007516,0.002286644034822775,190.0
roi_glcm_correlation_mean,1274.2176579833645,0.0,0.5205692408405915,0.0007201370512865632,190.33333333333334
global_lab_ch0_hist_13,797.8583946674989,0.0,0.437594286047168,0.002223346463741508,192.33333333333334
roi_lab_ch1_hist_8,878.9862991725537,0.0,0.3995755895884734,0.003011794039535894,192.66666666666666
global_lab_l_q75,659.2205435870352,0.0,0.586717890005529,0.0007683347434873196,193.33333333333334
roi_rgb_g_min,1566.7105744215653,0.0,0.48166992280123133,0.000709244435768888,193.33333333333334
roi_rgb_ch0_hist_8,899.0355437624061,0.0,0.5308605254351473,0.0008307832222360723,193.66666666666666
seg_hu_moment_1,1628.8957393864546,0.0,0.5744829222106449,0.00029462956433025676,194.33333333333334
